,,,-1.7800000E-6,-24.00000021E-3,,,,,-1.7800000E-6,108.0000028E-3,,,,,-1.7800000E-6,-1.2000000,,,,,-1.7800000E-6,1.000000,,,,,-1.7800000E-6,-2.4000001,
,,,-1.7600000E-6,-24.00000021E-3,,,,,-1.7600000E-6,84.000006318E-3,,,,,-1.7600000E-6,-1.2000000,,,,,-1.7600000E-6,800.000011921E-3,,,,,-1.7600000E-6,-2.0000000,
,,,-1.7400000E-6,-18.0000011E-3,,,,,-1.7400000E-6,44.00000349E-3,,,,,-1.7400000E-6,-1.2000000,,,,,-1.7400000E-6,1.000000,,,,,-1.7400000E-6,-2.4000001,
,,,-1.7200000E-6,-14.0000004E-3,,,,,-1.7200000E-6,64.000003040E-3,,,,,-1.7200000E-6,-1.2000000,,,,,-1.7200000E-6,1.2000000,,,,,-1.7200000E-6,-2.4000001,
,,,-1.7000000E-6,-12.0000001E-3,,,,,-1.7000000E-6,56.000001729E-3,,,,,-1.7000000E-6,-1.000000,,,,,-1.7000000E-6,1.000000,,,,,-1.7000000E-6,-2.0000000,
,,,-1.6800000E-6,-12.0000001E-3,,,,,-1.6800000E-6,28.00000086E-3,,,,,-1.6800000E-6,-1.000000,,,,,-1.6800000E-6,1.000000,,,,,-1.6800000E-6,-2.0000000,
,,,-1.6600000E-6,-8.000000380E-3,,,,,-1.6600000E-6,40.00000283E-3,,,,,-1.6600000E-6,-1.000000,,,,,-1.6600000E-6,1.000000,,,,,-1.6600000E-6,-2.0000000,
,,,-1.6400001E-6,-6.00000005E-3,,,,,-1.6400001E-6,28.00000086E-3,,,,,-1.6400001E-6,-1.000000,,,,,-1.6400001E-6,600.000023842E-3,,,,,-1.6400001E-6,-1.6000000,
,,,-1.6200000E-6,2.0000001E-3,,,,,-1.6200000E-6,4.00000019E-3,,,,,-1.6200000E-6,-1.000000,,,,,-1.6200000E-6,800.000011921E-3,,,,,-1.6200000E-6,-2.0000000,
,,,-1.6000000E-6,2.0000001E-3,,,,,-1.6000000E-6,-12.0000001E-3,,,,,-1.6000000E-6,-800.000011921E-3,,,,,-1.6000000E-6,800.000011921E-3,,,,,-1.6000000E-6,-1.6000000,
,,,-1.5800000E-6,2.0000001E-3,,,,,-1.5800000E-6,-12.0000001E-3,,,,,-1.5800000E-6,-1.000000,,,,,-1.5800000E-6,600.000023842E-3,,,,,-1.5800000E-6,-1.6000000,
,,,-1.5600000E-6,8.000000380E-3,,,,,-1.5600000E-6,-8.000000380E-3,,,,,-1.5600000E-6,-800.000011921E-3,,,,,-1.5600000E-6,800.000011921E-3,,,,,-1.5600000E-6,-1.6000000,
,,,-1.5400000E-6,8.000000380E-3,,,,,-1.5400000E-6,-24.00000021E-3,,,,,-1.5400000E-6,-600.000023842E-3,,,,,-1.5400000E-6,800.000011921E-3,,,,,-1.5400000E-6,-1.6000000,
,,,-1.5200000E-6,12.0000001E-3,,,,,-1.5200000E-6,-44.00000349E-3,,,,,-1.5200000E-6,-400.00000596E-3,,,,,-1.5200000E-6,600.000023842E-3,,,,,-1.5200000E-6,-1.2000000,
,,,-1.5000001E-6,14.0000004E-3,,,,,-1.5000001E-6,-52.00000107E-3,,,,,-1.5000001E-6,-400.00000596E-3,,,,,-1.5000001E-6,600.000023842E-3,,,,,-1.5000001E-6,-1.2000000,
,,,-1.4800000E-6,18.0000011E-3,,,,,-1.4800000E-6,-48.00000042E-3,,,,,-1.4800000E-6,-200.00000298E-3,,,,,-1.4800000E-6,400.00000596E-3,,,,,-1.4800000E-6,-800.000011921E-3,
